time_sec, foot_right_relative_x, foot_right_relative_y, foot_right_relative_z, root_roll_relative,  root_pitch_relative, root_yaw_relative, root_relative_x, root_relative_y, root_relative_z
12.019294, 71.632813, 35.636719, -18.632813, 0.102769, 0.712066, -0.182485, 74.734375, 30.480469, 19.036133
23.052866, 69.972656, 33.597656, -20.457031, 0.066501, 0.715542, -0.203466, 74.628906, 31.5, 17.25
30.075452, 68.832031, 32.761719, -21.006836, 0.047858, 0.720067, -0.209604, 74.414063, 32.167969, 16.607422
41.244028, 78.078125, 29.292969, -7.296875, 0.113684, 0.653027, -0.042633, 72.496094, 14.085938, 29.048828
71.2773, 77.820313, 28.640625, -9.816406, 0.096552, 0.662208, -0.061265, 73.253906, 15.273438, 27.365234
91.300514, 77.578125, 28.820313, -10.132813, 0.094409, 0.667757, -0.060945, 73.640625, 15.515625, 27.181641
100.453209, 67.386719, 29.09375, 37.400391, -0.194795, 0.561601, 0.619946, 65.898438, -5.109375, 50.347656
111.475372, 67.34375, 29.148438, 37.445313, -0.186824, 0.561953, 0.620988, 65.644531, -5.125, 50.210938
111.498455, 67.5, 29.449219, 37.486328, -0.177862, 0.560708, 0.618525, 65.226563, -4.972656, 50.060547
120.176704, 32.921875, 27.134766, 32.214844, 0.138792, -0.035659, 0.731206, 37.222656, -13.634766, 29.246094
120.199257, 32.515625, 27.525391, 27.808594, 0.102326, 0.003711, 0.736186, 37.425781, -13.113281, 29.488281
200.221245, 32.140625, 27.394531, 23.617188, 0.066938, 0.051657, 0.740013, 37.839844, -12.548828, 29.910156
200.827446, 78.699219, 32.1875, 37.017578, -0.391123, -0.207976, 0.239952, 47.902344, 7.734375, 29.308594
250.84948, 78.320313, 33.625, 36.335938, -0.324819, -0.160877, 0.300232, 48.613281, 7.542969, 30.78125
250.87175, 77.90625, 35.046875, 35.783203, -0.224535, -0.105851, 0.363101, 49.636719, 7.191406, 32.355469
260.423317, 52.863281, 40.394531, 54.487305, 0.220503, 0.062814, 0.735844, 54.074219, 2.132813, 44.856445
300.445534, 55.035156, 39.414063, 57.346191, 0.259274, 0.026763, 0.726621, 55.078125, 1.726563, 44.965332
310.044739, 24.226563, 20.414063, 32.787109, -0.230933, -0.306769, 0.86377, 37.742188, -17.046875, 25.486328
320.07869, 26.21875, 21.189453, 34.03125, -0.21663, -0.283207, 0.866084, 38.117188, -16.720703, 26.388672
330.101051, 27.96875, 21.355469, 35.666016, -0.199739, -0.273241, 0.865594, 38.523438, -16.767578, 27.191406
340.045723, 116.023438, 14.818359, 22.904297, -0.409374, 0.061505, 0.099979, 75.75, 14.853516, 25.021484
350.077866, 116.324219, 12.431641, 26.814453, -0.4158, 0.038518, 0.065438, 75.90625, 13.863281, 26.679688
400.10025, 116.402344, 11.273438, 28.740234, -0.424769, 0.026428, 0.042728, 75.976563, 13.474609, 27.193359
410.302612, 79.925781, 16.855469, 51.112671, 0.623452, 0.002693, 0.599814, 60.207031, -15.851563, 37.153198
420.323715, 83.015625, 20.019531, 46.815918, 0.629357, 0.055325, 0.567153, 62.558594, -13.90625, 37.46875
430.871017, 48.40625, 13.847656, 43.764282, 0.469009, 0.247507, 0.724313, 48.78125, -24.84375, 33.173462
440.904327, 48.882813, 8.707031, 49.027344, 0.490201, 0.121027, 0.746929, 47.488281, -27.628906, 31.17749
450.927338, 49.238281, 4.871094, 51.977051, 0.512771, 0.038908, 0.746322, 46.683594, -29.292969, 29.837891
460.529633, 48.324219, 14.292969, -8.595703, -0.008724, 0.777976, 0.299538, 43.828125, 2.191406, 26.160645
470.552322, 46.460938, 14.640625, -6.335938, -0.018285, 0.767347, 0.334048, 42.453125, 0.304688, 27.642578
470.574799, 44.804688, 14.738281, -4.37207, -0.023106, 0.757662, 0.364128, 41.601563, -1.550781, 28.84082
486.446655, 125.257813, -51.203125, 40.498657, 0.789209, -0.423888, -0.037402, 88.394531, -35.027344, 38.938477
486.480179, 122.855469, -52.015625, 43.036987, 0.755483, -0.456163, -0.052858, 86.882813, -33.917969, 39.754639
486.502533, 121.847656, -51.71875, 44.557617, 0.735472, -0.471791, -0.054163, 86.230469, -32.867188, 40.217102
426.571365, 112.351563, 21.011719, -5.34375, -0.060791, 0.174189, 0.250086, 77.242188, 17.429688, 13.878906
426.605042, 108.496094, 20.470703, -3.787109, -0.105857, 0.158927, 0.27086, 72.992188, 16.638672, 13.916016
426.627335, 105.53125, 19.898438, -3.744141, -0.140061, 0.156714, 0.287721, 70.035156, 15.773438, 13.501953
426.649246, 101.933594, 19.957031, -3.441406, -0.166945, 0.159558, 0.309083, 66.722656, 14.863281, 13.472656
539.719971, 87.945313, 30.367188, 18.326172, 0.518221, 0.717075, 0.103971, 86.855469, -6.609375, 38.088867
539.753357, 84.324219, 30.824219, 14.459961, 0.464956, 0.680882, 0.119494, 80.421875, -3.429688, 37.824707
